iTransCode|sExchSeg|sSymbol|siMarketType|lVolumeTradedToday|lLastTradedPrice|sNetChangeIndicator|lNetPriceChangeFromClosingPrice|lLastTradeQuantity|lLastTradeTime|lAverageTradePrice|lNoofTrades|siAuctionNumber|dTotalBuyQuantity|dTotalSellQuantity|dTotalTradevalue|lClosingPrice|lOpenPrice|lHighPrice|lLowPrice|lYearlyHighValue|lYearlyLowValue|lLowerCircuitLimit|lUpperCircuitLimit|sExchFeedTime|lSecondsSinceBoe|lUsecs|lOpenIntereset|mbpinfo.lQuantity 1|mbpinfo.lPrice 1|mbpinfo.siNumberOfOrders 1|mbpinfo.siBbBuySellFlag 1|mbpinfo.lQuantity 2|mbpinfo.lPrice 2|mbpinfo.siNumberOfOrders 2|mbpinfo.siBbBuySellFlag 2|mbpinfo.lQuantity 3|mbpinfo.lPrice 3|mbpinfo.siNumberOfOrders 3|mbpinfo.siBbBuySellFlag 3|mbpinfo.lQuantity 4|mbpinfo.lPrice 4|mbpinfo.siNumberOfOrders 4|mbpinfo.siBbBuySellFlag 4|mbpinfo.lQuantity 5|mbpinfo.lPrice 5|mbpinfo.siNumberOfOrders 5|mbpinfo.siBbBuySellFlag 5|mbpinfo.lQuantity 6|mbpinfo.lPrice 6|mbpinfo.siNumberOfOrders 6|mbpinfo.siBbBuySellFlag 6|mbpinfo.lQuantity 7|mbpinfo.lPrice 7|mbpinfo.siNumberOfOrders 7|mbpinfo.siBbBuySellFlag 7|mbpinfo.lQuantity 8|mbpinfo.lPrice 8|mbpinfo.siNumberOfOrders 8|mbpinfo.siBbBuySellFlag 8|mbpinfo.lQuantity 9|mbpinfo.lPrice 9|mbpinfo.siNumberOfOrders 9|mbpinfo.siBbBuySellFlag 9|mbpinfo.lQuantity 10|mbpinfo.lPrice 10|mbpinfo.siNumberOfOrders 10|mbpinfo.siBbBuySellFlag 10|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|1117800|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117600|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116400||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|2|116375|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|114|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|17|115775|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|18|115850|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|11|116409|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|1117800|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111300|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117600|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1118300|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51921|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|8|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115350|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|2702|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|13|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117800|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117600|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51929|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|126|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|10|115775|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|10|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|2703|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|4|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|4|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|16|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|18|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|116330|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51931|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|3|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115350|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51934|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|17|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|142|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|10|115775|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115850|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|4|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|2|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|23|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|126|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115775|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|10|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|3|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51935|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|24|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|142|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|3|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|-1|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|23|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|10|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|18|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|18|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115350|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|6|116340|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|116390|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|15|1111100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118100|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51936|116350||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|22|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|4|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1117900|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51937|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|14|1|51945|116375||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116675|115425|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116350|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|1|116375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|15|1|-1|115625||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116075|114900|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115750|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|17|115825|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|16|1|-1|115550||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|115550|114550|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|115175|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|115375|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|13|1|-1|116450||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|116640|115450|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|116340|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|5|116400|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|19|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1121100|1111200|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|5|1117700|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118000|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|20|1|-1|1110000||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1113700|1109600|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1110400|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1111200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
1001|nse_fo|23|1|-1|1117800||-1|-1|-1|-1|-1|30784|-1.0|-1.0|-1.0|-1|-1|1119900|1112800|-1|-1|1244475696|825060961|980 00:00:00|0|0|0|-1|1117500|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|-1|-1|1|-1|1118200|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|-1|-1|-1|0|
